9,27,31,33,45,49
12,28,34,41,46,49
2,8,9,16,39,49
5,12,15,29,42,44
3,7,15,21,35,40
5,11,21,22,38,45
8,11,12,23,29,36
4,7,26,36,42,47
1,3,8,14,15,16
3,8,20,24,37,47
16,25,31,34,40,42
5,9,10,32,38,40
11,12,39,41,42,49
6,8,12,16,24,35
4,10,28,31,33,43
4,16,30,32,37,44
2,8,30,31,40,44
1,25,26,37,40,43
12,14,19,28,32,36
2,9,12,14,23,24
3,7,9,23,26,32
10,14,25,29,33,44
5,22,25,30,32,46
7,12,27,31,37,44
3,12,19,37,39,45
5,10,35,41,42,44
8,21,26,29,31,46
6,18,23,31,46,48
2,5,8,29,36,45
7,8,15,17,19,33
18,32,42,44,45,48
4,13,21,24,31,45
1,2,3,11,15,43
2,10,15,16,20,49
1,9,12,18,35,48
1,6,26,27,43,46
23,25,26,36,40,49
5,11,15,28,31,47
14,17,27,34,36,42
6,7,14,23,35,41
10,11,18,20,35,48
15,25,26,29,42,43
3,4,18,23,27,28
5,6,7,18,25,37
2,7,18,19,23,25
14,16,28,39,41,47
9,20,27,35,37,43
3,5,7,23,42,46
3,9,14,36,40,46
1,3,9,40,42,44
6,9,34,35,48,49
5,10,11,33,44,47
2,7,8,11,19,27
1,11,19,27,28,38
7,18,19,38,42,46
8,17,18,19,48,49
3,5,38,39,41,48
3,8,10,35,46,48
5,14,19,30,38,40
9,26,29,36,40,41
7,11,14,15,27,41
15,18,31,33,34,41
2,7,10,16,28,36
6,13,18,19,29,49
3,4,14,18,19,42
6,8,9,12,19,26
1,16,34,37,41,48
2,9,15,21,38,46
7,8,28,30,32,42
3,8,11,34,40,47
12,15,25,40,44,45
10,13,15,22,29,46
3,8,21,38,42,49
7,30,37,43,47,49
1,4,10,14,32,39
1,5,7,19,37,45
2,4,15,20,35,45
22,24,28,35,37,45
2,9,19,23,26,30
4,5,18,28,35,42
11,16,21,26,42,45
4,7,10,31,33,38
9,10,13,26,28,30
15,27,36,37,43,49
9,17,20,22,34,40
13,15,17,25,34,45
16,23,32,33,37,45
11,20,22,33,41,49
1,3,15,26,28,39
13,15,22,42,45,46
1,13,22,32,33,39
11,18,19,27,34,46
7,10,20,38,45,49
7,13,14,34,37,45
12,21,25,40,42,49
3,6,12,28,39,46
30,35,39,42,46,48
25,28,36,38,41,49
5,22,23,26,43,46
10,15,21,30,32,38
6,11,20,22,34,49
14,18,27,33,34,39
15,18,23,32,38,47
7,13,32,38,39,48
4,6,12,23,36,47
5,16,19,24,28,34
23,31,34,38,39,41
12,13,19,35,42,47
3,7,8,12,37,40
15,16,17,30,36,40
3,4,27,43,45,48
9,16,25,36,39,43
4,9,13,25,44,49
15,24,27,29,42,49
30,31,35,36,43,48
2,14,18,21,26,48
3,11,33,34,36,43
11,15,16,20,46,49
11,36,37,38,39,45
2,14,15,21,29,46
7,16,18,43,45,48
16,17,27,40,41,45
4,14,22,26,45,48
6,11,12,26,28,38
20,21,26,30,35,41
3,23,26,35,42,44
12,17,23,36,44,49
5,17,21,29,41,43
2,5,18,23,29,47
9,10,21,28,35,43
20,27,28,37,38,39
4,8,18,24,31,32
15,23,30,31,32,42
16,17,20,42,47,49
7,14,30,32,38,45
21,26,28,33,34,42
7,15,24,31,33,34
1,8,10,11,17,35
10,12,20,25,31,34
27,28,29,36,46,48
10,11,14,19,27,39
3,10,13,21,27,45
22,24,28,41,47,49
3,4,16,23,26,44
13,14,31,33,37,46
16,19,21,34,37,47
7,14,21,28,30,32
1,2,13,30,35,38
6,14,18,23,31,47
1,16,19,24,26,47
2,9,13,18,40,46
5,8,18,22,41,48
2,3,16,25,34,46
4,9,17,20,26,31
26,28,32,37,40,47
7,8,9,24,25,34
10,18,20,38,39,44
6,23,24,29,36,38
4,5,12,13,18,19
12,22,24,37,39,43
13,16,20,21,27,48
8,27,29,33,40,49
11,17,28,29,36,39
5,15,31,35,42,46
6,12,23,29,44,46
5,13,19,37,42,45
3,5,9,19,29,37
1,8,10,33,34,38
1,5,15,23,25,31
3,13,21,24,29,40
6,8,20,23,35,39
19,25,34,36,40,43
2,17,32,37,39,42
6,7,11,18,22,43
16,24,27,43,48,49
1,20,21,23,40,46
